абдериты	глупый
навыворот	наизворот наоборот обратно превратно извращенно
навык	знание опытность привычка
навыкнуть	привыкать
навытяжку	прямо
навьючивать	наваливать обременять поручать
навязанный	чужой
навязчивый	безотвязный неотвязный неотвязчивый привязчивый безотбойный докучливый надоедливый назойливый неотступный упрямый нахальный
навязывать	вверять давать поручать
навязываться	вызываться набиваться напрашиваться приставать вверять
нагайка	арапник бич
нагибать	наклонять
нагишом	голый
наглец	бессовестный
наглость	дерзость
наглый	бессовестный дерзкий
наглядный	явный
нагнать	поймать
наговаривать	клеветать
наговор	клевета
наговорщик	клеветник
наговорщица	сплетник
нагой	голый
нагоняй	выговор
нагонять	догонять причинять
нагородить	болтать
награда	воздаяние отличие
награждать	отличать
нагромождать	наваливать
нагромоздить	собирать
нагружать	наваливать обременять
нагрузиться	есть напиваться пьяный
нагрянуть	вторгаться приходить
надавливать	теснить
надбавка	прибавление
надбавлять	увеличивать
надвигающийся	будущий
наддача	прибавление
надевать	набрасывать накидывать налагать напяливать вырядиться выфрантиться облачаться облекаться одеваться наряжаться принаряжаться разряжаться закутываться укутываться обувать обуваться
надежда	ожидание упование чаяние вера предвкушение предположение предчувствие перспектива шанс мечта иллюзия химера
надежный	безопасный безошибочный верный дознанный доказанный достоверный изведанный испытанный исправный крепкий кредитоспособный неминуемый неминучий неопровержимый незыблемый непоколебимый нерушимый несокрушимый несомненный неуязвимый обеспеченный основательный прочный стойкий твердый точный убедительный устойчивый фундаментальный капитальный солидный беспроигрышный безубыточный
надел	часть
наделать	натворить набедокурить наблажить надурить наколобродить накуролесить напрокудить напроказить насодомить причинять
наделить	иметь
наделять	оделять одарять снабжать давать
надеяться	уповать ожидать чаять предвидеть предвкушать предчувствовать верить полагать полагаться ждать
надзвездный	возвышенный идеальный
надзиратель	блюститель наблюдатель надсмотрщик смотритель страж
надзор	забота
надлежащий	заслуженный подходящий
надлежит	надо
надломленный	бессильный слабый
надмеваться	гордиться
надменность	гордость
надменный	гордый
надо	надобно должно надлежит необходимо нужно потребно приходится требуется следует полагается стоит должен нуждаться
надобно	надо нуждаться
надобность	нужда
надобный	необходимый
надоедать	докучать надокучать досаждать надосаждать донимать опостылеть опротиветь приглядеться примелькнуться приесться беспокоить
надоедливый	докучливый докучный назойливый приедчивый навязчивый
надокучать	надоедать
надокучивший	пошлый
надолго	продолжаться
надорванный	бессильный слабый
надосаждать	надоедать
надоумить	внушать научать учить
надпись	заглавие заголовок титул вывеска
надругаться	насмехаться
надрывать	ослаблять
надрываться	мучиться ослабевать работать силиться смеяться стараться усердствовать
надсаживать	ослаблять
надсаживаться	мучиться ослабевать силиться
надсмотрщик	надзиратель
надставлять	бить
надтомлять	мучить
надувательство	обман
надувать	обманывать
надуманный	вымышленный
надумать	думать замышлять решать
надурить	наделать
надутый	высокопарный гордый сердитый
надуться	гордиться рассердиться
наедаться	есть
наедине	самдруг tкteаtкte один одиноко
наездничать	ехать
наемник	работник продажный
наехать	встречать
нажива	барыш заработок
наживать	доставать зарабатывать
нажимать	давить теснить
назад	вспять обратно
название	имя слово
назезюлиться	напиваться
назидательный	наставительный наставнический учительный аподиктический докторальный поучительный душеполезный душеспасительный учебный дидактический убедительный
назло	напротив
назначать	определять распределять
назначение	задача
назначенный	определенный
назойливый	навязчивый надоедливый
назревший	спешный
назубок	наизусть
называть	именовать нарекать крестить величать звать прозывать титуловать чествовать обзывать обругать дразнить
называться	именоваться величаться прозываться титуловаться
наивный	бесхитростный доверчивый легковерный недогадливый простодушный простой простак карась детский ребяческий глуповатый глупый откровенный
наизволиться	напиваться
наизворот	навыворот наоборот напротив
наизусть	назубок
наилучший	лучший
наименование	имя
наипаче	преимущественно
наитие	вдохновение
наймит	батрак работник
найти	встречать
найтись	быть догадываться
наказ	приказ
наказание	взыскание кара казнь пеня расправа штраф эпитимия
наказывать	карать учить оштрафовывать приказывать
накаленный	горячий
наканифолиться	напиваться
накануне	заранее перед прежде
накидывать	наваливать надевать прибавлять
накинуться	бранить
наклад	убыток
накладной	мнимый фальшивый
накладный	убыточный
накладывать	наваливать
наклевываться	случаться
наклеп	клевета
накликать	причинять
накликаться	напиваться
наклон	крен кручь откос покат скат склон спуск наклонение отлогость покатость пологость косогор крутизна стремнина подъем
наклонение	наклон
наклонность	влечение симпатия слабость любовь
наклонять	нагибать склонять опустить
наклюкаться	напиваться
наколобродить	наделать
наконец	напоследок едва
накопить	запасаться собирать
накопление	увеличение умножение
накопляться	размножаться
накрапывать	дождь лить
накраситься	напиваться
накрывать	закрывать
накрыть	поймать
накумекаться	напиваться
накуролесить	наделать
налагать	вверять наваливать надевать обременять поручать
налаживать	направлять
налакаться	напиваться
налегать	внимание опираться силиться стараться теснить усердствовать
наливаться	увеличиваться
налицо	быть
наличность	бытие запас имущество количество присутствие список число
наличные	деньги
наловчиться	привыкать
налог	дань оброк платеж поборы повинность подать пошлина сбор тягота мыто мыт акциз контрибуция
наложница	жена
намарать	писать
намедни	недавно
намек	знак указание инсинуация символ двусмысленность иносказание недомолвка обиняк притча пример аллегория парабола экивок малость
намекать	показывать издалека иносказательно загадочно непрямо обиноваться подразумевать внушать
намереваться	думать предполагать метить норовить промышлять рассчитывать проектировать готовиться собираться предпринимать замышлять
намерение	мысль замысел умысел план предположение проект расчет цель
намерения	ожидание
намеренно	умышленно
наместник	преемник
намет	дом
наметавшийся	искусный
наметаться	привыкать упражняться
намечать	обозначать
намеченный	будущий
нанимать	снимать откупать кортомить абонировать рядить подряжать
наносить	делать причинять
наносный	чужой
нанятый	продажный
наоборот	навыворот наизворот обратно превратно извращенно
наобум	наугад наудачу зря необдуманно опрометчиво легкомысленно
наособицу	отдельно
наостриться	привыкать
наотрез	совершенно
нападать	травить атаковать атукать обижать
нападение	набег
нападки	обвинение
напакостить	неприятность неудача
напасать	запасаться
напасть	беда горе
напасть	встречать вторгаться
напев	мелодия погудка голос
напевать	петь повторять
наперед	прежде
наперекор	напротив
наперерез	против
напересечку	против
напеть	бить
напиваться	упиваться набальзамиться навакситься нагрузиться назезюлиться назюзиться назюкаться назыриться наизволиться наканифолиться наклюкаться накраситься накликаться нализаться налимониться нарезаться насосаться настаканиться настегаться насудариться насуслиться натюкаться натянуться наукладиться нахлестаться
напирать	внимание принуждать теснить толпиться
написать	извещать
напитаться	учить
напиток	питье пойло
наплыв	набег собрание
наплыть	встречать
наподобие	как
наподряд	весь
напоказ	внешний
наполненный	полный
наполнять	заполнять пополнять закруживать наводнять набивать начинять нашпиковать фаршировать
напоминать	подсказывать казаться подобный походить
напор	набег
напороться	встречать
напоследок	конец наконец
напоследях	наконец
направление	веяние дух закваска настроение способ
направлять	обращать устремлять руководить гнуть отклонять адресовать метить править учить целить
направляться	обращаться адресоваться бросаться кидаться идти
напраслина	клевета
напрасный	бесплодный бесполезный пустой
напрашиваться	вызываться набиваться навязываться
например	положим примерно скажем возьмем предположим примем
напролом	прямо
напропалую	отчаянный
напротив	против насупротив наперекор вопреки вразрез назло
напружаться	силиться стараться
напрягаться	силиться
напряжение	старание
напряженный	усиленный интенсивный
напрямик	откровенный
напугать	испугать
напускной	мнимый
напуститься	бранить
напыщенный	важничать высокопарный
напяливать	надевать
наравне	как одинаковый
нараспашку	откровенный
нарастание	увеличение умножение
нарастать	увеличиваться
наращение	польза прибавление
нарваться	встречать
нарезаться	напиваться
нарекание	обвинение
нарекать	называть
наречие	язык
наркотизировать	усыплять
народ	народность нация национальность племя язык раса толпа человек чернь
народец	толпа
народность	народ
народонаселение	житель
нарост	возвышенность опухоль польза
нарочный	вестник
наружность	вид
наружный	внешний мнимый
нары	ложе
наряд	платье украшение
нарядность	красота роскошь
нарядный	красивый роскошный
наряжать	украшать
наряжаться	надевать
насаждать	водворять помещать
насвистаться	напиваться
наседать	теснить
население	житель
населенный	многолюдный
населять	жить занимать
насилие	насилование давление принуждение понука репрессалии деспотизм тирания грабеж самовольство
насилование	насилие
насиловать	заставлять принуждать
насилу	едва
насильник	злодей преступник
наскочить	встречать
наскучить	надоедать
наслаждаться	восторгаться радоваться веселиться пользоваться
наслаждение	удовольствие
наследие	имущество остаток
наследник	заместитель преемник
наследственный	потомственный родовой семейный преемственный естественный
наследство	имущество
наслышаться	слушать
насмехаться	глумиться забавляться издеваться измываться надругаться острить потешаться трунить подтрунивать шутить подшучивать смеяться высмеивать осмеивать кощунствовать иронизировать передразнивать пародировать
насмешка	глумление издевательство издевка укол шпилька желчь острота шутка ирония карикатура пародия сарказм сатира эпиграмма юмор
насодомить	наделать
насолить	вредить неприятность неудача
насосаться	напиваться
наставать	возникать начинаться
наставитель	воспитатель
наставительный	назидательный
наставление	учение
наставлять	вдохновлять внушать воспитывать советовать учить
наставник	воспитатель учитель
наставница	учитель
наставнический	назидательный
настаивать	артачиться просить требовать упрямиться
настаканиться	напиваться
настегаться	напиваться
настежь	открытый
настигать	догонять
настигнуть	поймать
настойчивость	упрямство
настойчивый	упрямый
настораживаться	слушать
насторожиться	ждать остерегаться
настояние	просьба
настоятельно	безотлагательно спешный
настоятельный	необходимый
настоящий	действительный завзятый заведомый законченный закоренелый закоснелый записной заправский заядлый истинный истовый истый прямой неподдельный непритворный отъявленный подлинный самый сущий форменный чистый чистокровный автентичный патентованный законный признанный квалифицированный очевидный реальный воплощенный олицетворенный конкретный вещественный предметный нынешний точный
настраивать	возбуждать исправлять
настроение	дух самочувствие направление
настукаться	напиваться
наступать	возникать начинаться приближаться следовать теснить
наступающий	будущий скорый
насудариться	напиваться
насупистый	угрюмый
насупленный	угрюмый
насупротив	напротив
насуслиться	напиваться
насыпь	возвышенность плотина
насыщать	питать проникать удовлетворять
насыщаться	питаться
наталкивать	возбуждать
наталкиваться	встречать
натаскивать	учить
натворить	наделать
натиск	набег
натолкнуть	соблазнять
наторелый	искусный опытный
натореть	привыкать
натравлять	возбуждать
натуга	старание
натужаться	силиться
натура	характер
натурализоваться	привыкать
натуральный	естественный
натурщик	образец
натыкаться	встречать
натюкаться	напиваться
наугад	наобум наудачу
наудачу	наугад наобум гадательно зря необдуманно
наука	учение дисциплина доктрина предмет памятка пример урок нравоучение мораль предупреждение
наукладиться	напиваться
науськивать	возбуждать
наутюжиться	напиваться
научать	наущать подучать подущать подбивать подговаривать внушать догадать надоумить выучить
научиться	выучить
научный	ученый
наушник	клеветник
наушничать	клеветать
наушничество	клевета
наущать	возбуждать научать
наущение	внушение возбуждение
нахальный	дерзкий навязчивый
нахальство	дерзость
нахапать	красть
нахвататься	выучить
нахлестаться	напиваться
нахлобучить	надевать
нахлобучка	выговор
нахлопнуть	поймать
находить	обретать изобретать выискать отыскать приискать сыскать открывать выдумывать выкапывать откапывать вырывать выуживать отковырять нащупать застать казаться
находиться	быть
находка	открытие
находчивый	догадливый ловкий
начало	возникновение зачаток зародыш начатие начинание початие початок почин рождение источник колыбель корень основание происхождение инициатива вступление приступ прелюдия пролог увертюра предисловие преддверие дебют закон правило
начальник	глава главнокомандующий председатель староста старшина старшой старейшина владыка властелин властитель повелитель господин патрон атаман
начальный	простой
начальство	правительство власти власть господство начальник
начальствование	главенство первенство
начальствовать	властвовать господствовать править
начатие	начало
начесться	быть
начетчик	ученый
начинание	начало
начинать	заводить затевать предпринимать приниматься приступать пускаться стать дебютировать открыть
начинаться	возникать завязываться загораться зарождаться затеваться наставать наступать становиться
начинять	наполнять
начисто	совершенно
начитанный	ученый
наш	выше
нашествие	война набег
нашивка	галун украшение
нашколить	править
нашпиговать	учить
нашпиковать	наполнять
нащупать	находить
наяву	явный
неахтительный	посредственный
небезвыгодный	доходный полезный
небезынтересный	интересный
небесный	духовный
неблаговидный	подозрительный преступный
неблаговоспитанный	невоспитанный недисциплинированный бестактный необузданный невежа
неблагодарный	бесчувственный нечувствительный непризнательный
неблагонадежный	опасный подозрительный
неблагонамеренный	преступный
неблагополучие	несчастный
неблагопристойный	безнравственный
неблагосклонный	враждебный
небо	бог
небожитель	бог
небольшой	короткий малый низкий
небось	вероятно
небрежно	невнимательно нерадиво неряшливо какнибудь коекак халатно наскоро
небывалое	новость
небывалый	беспримерный мнимый необыкновенный новый
небывальщина	выдумка
небылица	выдумка
неважный	маловажный малозначащий малоценный незначительный ничтожный легкий мелкий пустой мелкотравчатый жалкий мизерный шваль шушера плохой посредственный худой
невдалеке	близко
неведомый	неизвестный тайный
невежа	бурбон бурлак вахлак дроволом мужик грубый неблаговоспитанный
невежда	невежественный несведущий безграмотный неграмотный необразованный неученый неуч серый темный малограмотный малокультурный дикарь
невежественный	невежда
неверность	измена
неверный	ложный неправильный непрочный фальшивый
невероятный	неестественный невозможный сомнительный
невесомый	легкий
невещественный	духовный
невзлюбить	ненавидеть нравиться
невзначай	случайно
невзрачный	безобразный некрасивый
невзыскательный	простой скромный
невидаль	редкость
невиданный	беспримерный диковинный необыкновенный редкий
невинный	невиновный неповинный безвинный безгреховный безгрешный беспорочный незапятнанный девственный целомудренный чистый непогрешимый правый нравственный
невменяемый	невольный
невмоготу	мочь невозможно невыносимый
невмочь	невыносимый
невнимательно	какнибудь небрежно
невнятный	неясный
невод	сети
невозбранно	безвозбранно беспрепятственно
невозбранный	вольный
невоздержный	необузданный
невозможно	нельзя невмоготу мочь
невозможный	недостижимый неисполнимый немыслимый непосильный несбыточный невероятный
невознаградимый	безвозмездный
невознаграждаемый	бесплатный даровой
неволить	принуждать
невольник	раб
невольно	непроизвольно безотчетно бессознательно инстинктивно машинально механически слепо стихийно нечаянно неумышленно волейневолей неохотно
невольный	непроизвольный безотчетный бессознательный инстинктивный машинальный механический невменяемый стихийный рефлекторный
неволя	зависимость кабала плен подвластность подчиненность рабство обязанность
невоспитанный	грубый неблаговоспитанный
невпопад	некстати
невредимый	целый
невтерпеж	невыносимый
невыгода	вред
невыгодный	безвыгодный убыточный
невыносимо	очень
невыносимый	несносный нестерпимый адский мучительный неприятный тяжкий
невынужденный	добровольный
невыразимый	неизъяснимый неописанный неописуемый несказанный неизреченный
невысокий	низкий
нега	заботливость
негодное	брак ветошь гиль гниль дрязг дрянь заваль залежалое бросовое лохмотья макулатура обноски отбросы отребье плесень прах рвань старье тлен тля труха тряпье хлам малоценное сор мусор навоз ненужное лишнее балласт бой битыш лом
негодный	негодящий негожий непригодный завалящий дрянной плохой худой
негодование	гнев
негодовать	обижаться роптать сердиться
негодующий	гневный недовольный сердитый
негодяй	бездельник каналья мерзавец ракалья висельник
негоциант	торговец
неграмотный	невежда
недавний	новый
недавно	незадолго внове давеча намедни както
недалекий	глупый
недалеко	близко
недальновидный	близорукий
недвижность	бездействие
недействительный	бессильный
неделикатный	грубый
неделимое	единица
недисциплинированный	неблаговоспитанный
недобор	недостача
недоброжелатель	враг
недоброжелательный	враждебный
недоброжелательство	антагонизм вражда
недоброжелательствовать	враждовать
недобросовестный	бесчестный подлый
недоверие	сомнение недоверчивость мнительность осторожность осмотрительность предубеждение подозрительность подозрение
недоверчивость	недоверие осторожность
недоверчивый	осторожный откровенный подозрительный
недовольно	мало
недовольный	ворчливый негодующий несогласный ропотливый ропщущий воркун брюзга гневный сварливый сердитый
недовольство	гнев
недогадливый	безрассудный глупый наивный
недоглядеть	замечать
недоимка	долг
недоказанный	бездоказательный
недолюбливать	любить ненавидеть
недомер	недостача
недомогание	болезнь
недомогать	болеть
недомолвка	намек
недомыслие	безрассудство глупость
недород	голод
недоросль	малолеток
недосказывать	скрывать
недосмотр	недостаток
недосмотреть	замечать
недоспать	спать
недоставать	мало некстати нет отсутствовать
недостаток	изъян недосмотр недочет неисправность неправильность несовершенство грех порок порча повреждение пробел прореха пятно аномалия дефект слабость бедность лишение неимение нужда отсутствие голод недостача
недостаточно	мало
недостаточный	бедный неполный
недостача	недостаток недобор недомер недохватка недочет неполнота дефицит
недостижимый	недоступный недосягаемый неприступный идеальный невозможно неясный
недоступный	недостижимый
недосуг	некогда
недосужно	некогда
недосчитаться	нет терять
недосыпать	спать
недосягаемый	недостижимый
недотка	сети
недоумевать	удивляться
недоумение	сомнение
недохватка	недостача
недочет	недостаток недостача
недремлющий	бдительный
недруг	враг
недружелюбие	вражда
недружелюбный	враждебный
недуг	болезнь
недурной	порядочный сносный
недюжинный	необыкновенный
неестественный	противоестественный сверхъестественный вычурный искусственный надутый натянутый приподнятый повышенный раздутый баснословный невероятный неимоверный сказочный преувеличенный условный театральный жеманный манерный прилизанный сахарный сентиментальный слащавый ходульный церемонный чванный чопорный волшебный дивный чудесный чудный фальшивый
нежданно	неожиданно
нежелание	уклонение уклончивость
нежелательный	вредный неприятный худой
неженатый	холостой
неженка	нежный
нежить	баловать холить ласкать ухаживать
нежный	ломкий мягкий рыхлый слабый тонкий хрупкий деликатный умиленный умильный любовный трогательный сентиментальный изнеженный холеный неженка недотрога недотыка ласковый
незабвенный	достопамятный памятный приснопамятный славный вечный знаменитый
незавидный	плохой худой
независимо	беспричинно единовластно
независимый	беспричинный вольный самостоятельный свободный
незадача	неудача
незадачливый	несчастный
незадолго	недавно
незакатный	вечный
незаконный	преступный
незамедлить	немедленно
незаметно	постепенно
незаметный	неуловимый микроскопический незначительный ничтожный малый
незамещенный	вакантный пустой
незамужняя	бобыль холостой
незамысловатый	бесхитростный простой
незанятый	вакантный пустой
незапятнанный	безукоризненный беспорочный невинный образцовый
нездоровиться	болезнь болеть
нездоровый	больной
нездоровье	болезнь
неземной	возвышенный духовный
незлобивый	кроткий
незнакомый	неизвестный
незначительный	малый мелкий неважный незаметный
незрелый	малолеток
незыблемый	надежный непобедимый постоянный
неизбежно	непременно
неизбежный	верный неминуемый неотменный непременный неотразимый неотвратимый роковой фатальный провиденциальный
неизведанный	неизвестный
неизвестный	безызвестный безвестный неведомый неизведанный незнакомый некто ктото икс безымянный анонимный темный некоторый
неизгладимый	вечный
неизлечимый	безнадежный
неизменно	постоянно
неизменность	верность
неизменный	одинаковый постоянный упрямый
неизменчивый	постоянный
неизмеримый	безграничный
неизысканный	простой
неимение	недостаток нужда отсутствие
неимоверно	очень
неимоверный	неестественный
неимущий	бедный
неинтересующийся	бесстрастный
неисповедимый	неясный
неисполнение	неисправность несоблюдение неустойка
неисполнимый	невозможный
неиспорченный	целый
неисправимый	безнадежный
неисправность	недостаток неисполнение
неиссякающий	бесконечный вечный
неистово	громко
неистовство	жестокость
неистовствовать	буянить свирепствовать
неистовый	бешеный блажной буйный жестокий
нейтрализировать	уничтожать
нейтральный	хладнокровный
неказистый	безобразный некрасивый
некий	известный некоторый
некогда	когдато однажды раз прежде древле встарь когданибудь
некогда	недосужно недосуг
некоторый	некий некто ктото какойто какойнибудь неизвестный один многие иные маломальский
некрасивый	невзрачный неказистый безобразный уродливый неприглядный нескладный несуразный неуклюжий грубый дурной лубочный аляповатый плюгавый
некстати	невпопад неловко несвоевременно неуместно невовремя безвременно
нектар	напиток
некто	неизвестный некоторый
некультурный	грубый
нелады	вражда несогласие ссора
нелегальный	преступный
нелегкая	бес
нелепица	нелепость
нелепость	нелепица абсурд ахинея бессмыслица белиберда вздор галиматья дичь дребедень ерунда несообразность околесина чепуха чушь абракадабра
нелепый	бессмысленный бестолковый вздорный пустой несвязный нескладный
нелицеприятный	беспристрастный справедливый
неловкий	неповоротливый нерасторопный неуклюжий мешковатый угловатый бестактный увалень валуй гиппопотам медведь
неловко	некстати неловкий
неловкость	ошибка
нелогично	непоследовательно
нельзя	невозможно запрещается запрещено возбраняется воспрещается грешно противопоказуется запрещать мочь отрицание очень
нелюбовь	антагонизм вражда отвращение
нелюдимый	угрюмый
немедленно	немедля безотлагательно неотложно неукоснительно сейчас тотчас
немедленный	спешный
немедля	безотлагательно немедленно
немилосердный	безжалостный
немилость	гнев
немного	мало капелька капля малость
немножко	малость
неможется	болеть
немой	молчаливый тихий
немотствовать	молчать
немочь	бессилие болезнь слабость
немощный	бессильный больной
немощь	болезнь
немудреный	бесхитростный простой
немыслимый	невозможный
ненавидеть	враждовать
ненавистник	враг
ненавистный	неприятный
ненависть	вражда отвращение
ненаглядный	дорогой милый
ненадежный	непостоянный непрочный опасный сомнительный
ненадолго	продолжаться
ненамеренно	случайно
ненароком	случайно
ненастье	непогода
ненасытный	жадный обжорливый
